,Muslim,Sunni,Shia,Christian,Catholic,Orthodox,Protestant,Hindu,Buddhist,None,Mixed,Jewish,Religion,Sect,,,,,,,,literacy,,,GINI,,,,,,,,,,
Afghanistan,0.997,0.847,,,,,,,,,,,Muslim,Sunni,,,,,,Angola,35522339,71.1,10,6800,42.7,2.9,0.21,0.8,Christian,Catholic,66.8,8.2,62.3,7.72,61.3
Albania,0.567,,,,,,,,,,,,Muslim,N/A,,,,,,Bangladesh,162650853,73.9,11,4200,32.4,2.4,0.53,0.8,Muslim,N/A,38.2,3.6,28.3,30.2,74.2
Algeria,1,1,,,,,,,,,,,Muslim,Sunni,,0.472283934,,,,Belarus,9477918,99.8,15,18900,25.4,6.3,4.08,11,Christian,Orthodox,79.5,24.5,3.5,3.4,73.8
American Samoa,,,,0.983,,,,,,,,,Christian,N/A,,,,,,Central African Republic,5990855,37.4,7,700,56.2,4.3,0.06,1,Christian,N/A,42.2,7.5,80.6,116.5,54.2
Andorra,,,,1,1,,,,,,,,Christian,Catholic,,0.757772177,,,,Colombia,49084841,95.1,15,14400,49.7,5.9,2.08,1.5,Christian,Catholic,81.4,22.3,12.3,14.2,76.6
Angola,,,,0.792,0.411,,,,,,,,Christian,Catholic,,0.302202118,,,,Indonesia,267026366,95.7,13,12400,38.1,3.1,0.38,1.2,Muslim,N/A,56.6,6.9,20.4,25,73.7
Anguilla,,,,0.92,,,0.732,,,,,,Christian,Protestant,,0.465739537,,,,Laos,7447396,84.7,11,7400,36.4,2.4,0.5,1.5,Buddhist,N/A,36.3,5.3,45.6,47.3,65.7
Antiqua and Barbuda,,,,0.887,,,0.683,,,,,,Christian,Protestant,,0.816127644,,,,Lesotho,1969334,79.4,11,3300,54.2,8.1,0.07,1.3,Christian,Protestant,29,16.6,41.5,81.1,53
Argentina,,,,0.946,0.92,,,,,,,,Christian,Catholic,,0.904044193,,,,Nepal,30327877,67.9,12,2700,32.8,6.3,0.65,3,Hindu,N/A,20.6,4.1,25.1,32.2,71.8
Armenia,,,,0.95,,,,,,,,,Christian,N/A,,,,,,Qatar,2444174,93.5,12,124100,41.1,3.1,2.78,1.2,Muslim,N/A,99.2,35.1,5.7,6.8,79.4
Aruba,,,,0.936,0.753,,,,,,,,Christian,Catholic,,0.312715184,,,,Ukraine,43922939,99.8,15,8800,25,6.7,3.01,8.8,Christian,Orthodox,69.6,24.1,7.4,8.7,72.9
Australia,,,,0.499,,,,,,,,,Christian,N/A,,0.556531181,,,,Venezuela,28644603,97.1,14,12500,46.9,3.2,1.92,0.08,Christian,Catholic,88.3,25.6,27.9,24.5,71
Austria,,,,0.69,0.57,,,,,,,,Christian,Catholic,,0.088293612,,,,,,,,,,,,,,,,,,,
Azerbaijan,0.969,,0.969,,,,,,,,,,Muslim,Shia,,0.698072655,,,,,,,,,,,,,,,,,,,
Bahamas,,,,0.949,,,0.699,,,,,,Christian,Protestant,,,,,,,,,,,,,,,,,,,,,
Bahrain,0.737,,,,,,,,,,,,Muslim,N/A,,0.80218679,,,,,,,,,,,,,,,,,,,
Bangladesh,0.891,,,,,,,,,,,,Muslim,N/A,,0.159188205,,,,,,,,,,,,,,,,,,,
Barbados,,,,0.756,,,0.664,,,,,,Christian,Protestant,,0.333071867,Niue,,,,,,,,,,,,,,,,,,
Belarus,,,,0.589,,0.483,,,,0.411,,,Christian,Orthodox,,0.846781731,Bahamas,,,,,,,,,,,,,,,,,,
Belgium,,,,0.525,0.5,,,,,0.418,,,Christian,Catholic,,0.457355195,Luxembourg,,,,,,,,,,,,,,,,,,
Belize,,,,0.716,0.401,,,,,,,,Christian,Catholic,,0.590633674,Egypt,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,1,,Mixed,N/A,,0.008289971,Burundi,,,,,,,,,,,,,,,,,,
Bermuda,,,,0.711,,,0.462,,,,,,Christian,Protestant,,0.824246166,Mali,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,0.753,,,,Buddhist,N/A,,0.201130106,Mongolia,,,,,,,,,,,,,,,,,,
Bolivia,,,,0.945,0.768,,,,,,,,Christian,Catholic,,0.37131864,Azerbaijan,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,0.507,,,0.459,,,,,,,,,Muslim,N/A,,0.897574394,Belize,,,,,,,,,,,,,,,,,,
Botswana,,,,0.791,,,,,,,,,Christian,N/A,,0.193163274,Wallis and Futuna,,,,,,,,,,,,,,,,,,
Brazil,,,,0.879,0.646,,,,,,,,Christian,Catholic,,0.295626726,Falkland Islands,,,,,,,,,,,,,,,,,,
British Virgin Islands,,,,0.816,,,0.702,,,,,,Christian,Protestant,,0.591920511,Cayman Islands,,,,,,,,,,,,,,,,,,
Brunei,0.788,,,,,,,,,,,,Muslim,N/A,,0.743269702,Bolivia,,,,,,,,,,,,,,,,,,
Bulgaria,,,,0.611,,0.594,,,,,,,Christian,Orthodox,,0.123025883,United Arab Emirates,,,,,,,,,,,,,,,,,,
Burkina Faso,0.615,,,,,,,,,,,,Muslim,N/A,,0.043601839,Ireland,,,,,,,,,,,,,,,,,,
Burma,,,,,,,,,0.879,,,,Buddhist,N/A,,0.344398796,Jamaica,,,,,,,,,,,,,,,,,,
Burundi,,,,0.86,0.621,,,,,,,,Christian,Catholic,,0.660158333,Papua New Guinea,,,,,,,,,,,,,,,,,,
Cabo Verde,,,,0.853,0.773,,,,,,,,Christian,Catholic,,0.742555502,El Salvador,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,0.979,,,,Buddhist,N/A,,0.482821495,Georgia,,,,,,,,,,,,,,,,,,
Cameroon,,,,0.692,,,,,,,,,Christian,N/A,,0.852941996,Estonia,,,,,,,,,,,,,,,,,,
Canada,,,,0.672,,,,,,,,,Christian,N/A,,0.709321165,West Bank,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,0.83,,,0.678,,,,,,Christian,Protestant,,0.063961201,Benin,,,,,,,,,,,,,,,,,,
Central African Republic,,,,0.895,,,,,,,,,Christian,N/A,,0.944072876,Tanzania,,,,,,,,,,,,,,,,,,
Chad,0.521,,,0.441,,,,,,,,,Muslim,N/A,,0.110498607,Costa Rica,,,,,,,,,,,,,,,,,,
Chile,,,,0.841,0.667,,,,,,,,Christian,Catholic,,0.578366958,Kyrgyzstan,,,,,,,,,,,,,,,,,,
China,,,,,,,,,,0.522,,,None,N/A,,0.805692857,Christmas Island,,,,,,,,,,,,,,,,,,
Christmas Island,,,,,,,,,,,1,,Mixed,N/A,,0.513069773,"Congo, Republic of the",,,,,,,,,,,,,,,,,,
Cocos (Keeling) Islands,0.75,0.75,,,,,,,,,,,Muslim,Sunni,,0.656351759,Buinea-Bissau,,,,,,,,,,,,,,,,,,
Colombia,,,,0.93,0.79,,,,,,,,Christian,Catholic,,0.580381617,Andorra,,,,,,,,,,,,,,,,,,
Comoros,0.98,0.98,,,,,,,,,,,Muslim,Sunni,,0.891142755,Puerto Rico,,,,,,,,,,,,,,,,,,
"Congo, Democratic Republic of the",,,,0.931,,,,,,,,,Christian,N/A,,0.744952507,Hungary,,,,,,,,,,,,,,,,,,
"Congo, Republic of the",,,,0.753,,,,,,,,,Christian,N/A,,0.935335945,Gilbraltar,,,,,,,,,,,,,,,,,,
Cook Islands,,,,0.842,,,0.628,,,,,,Christian,Protestant,,0.191447285,Nigeria,,,,,,,,,,,,,,,,,,
Costa Rica,,,,0.872,0.718,,,,,,,,Christian,Catholic,,0.833252286,Equatorial Guinea,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,0.429,,,,,,,,,,,,Muslim,N/A,,0.057781031,Fiji,,,,,,,,,,,,,,,,,,
Croatia,,,,0.907,0.863,,,,,,,,Christian,Catholic,,0.309222321,"Congo, Democratic Republic of the",,,,,,,,,,,,,,,,,,
Cuba,,,,0.592,,,,,,,,,Christian,N/A,,0.266393924,Jordan,,,,,,,,,,,,,,,,,,
Curacao,,,,0.895,0.728,,,,,,,,Christian,Catholic,,0.301384376,Albania,,,,,,,,,,,,,,,,,,
Cyprus,,,,0.94,,0.891,,,,,,,Christian,Orthodox,,0.193647679,Lithuania,,,,,,,,,,,,,,,,,,
Czechia,,,,,,,,,,0.885,,,None,N/A,,0.063368639,Russia,,,,,,,,,,,,,,,,,,
Denmark,,,,0.747,,,0.747,,,,,,Christian,Protestant,,0.924642496,New Zealand,,,,,,,,,,,,,,,,,,
Djibouti,0.94,0.94,,,,,,,,,,,Muslim,Sunni,,0.421377083,Palau,,,,,,,,,,,,,,,,,,
Dominica,,,,0.912,0.614,,,,,,,,Christian,Catholic,,0.710484508,Grenada,,,,,,,,,,,,,,,,,,
Dominican Republic,,,,0.691,0.478,,,,,,,,Christian,Catholic,,0.172090823,Djibouti,,,,,,,,,,,,,,,,,,
Ecuador,,,,0.856,0.74,,,,,,,,Christian,Catholic,,0.11607157,Pitcairn Islands,,,,,,,,,,,,,,,,,,
Egypt,0.9,0.8,,,,,,,,,,,Muslim,Sunni,,0.79176639,Latvia,,,,,,,,,,,,,,,,,,
El Salvador,,,,0.86,0.5,,,,,,,,Christian,Catholic,,0.16922128,France,,,,,,,,,,,,,,,,,,
Equatorial Guinea,,,,0.6,0.5,,,,,,,,Christian,Catholic,,0.537316497,United States,,,,,,,,,,,,,,,,,,
Eritrea,0.6,0.5,,,,,,,,,,,Muslim,Sunni,,0.763594906,Maldives,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,0.708,,,None,N/A,,0.760767461,Malawi,,,,,,,,,,,,,,,,,,
Eswatini,,,,0.9,,,,,,,,,Christian,N/A,,0.960845391,Faroe Islands,,,,,,,,,,,,,,,,,,
Ethiopia,,,,0.627,,0.435,,,,,,,Christian,Orthodox,,0.809652968,Iceland,,,,,,,,,,,,,,,,,,
Falkland Islands,,,,0.893,,,0.793,,,,,,Christian,Protestant,,0.585280467,Croatia,,,,,,,,,,,,,,,,,,
Faroe Islands,,,,0.571,,,,,,0.414,,,Christian,N/A,,0.69575573,Jersey,,,,,,,,,,,,,,,,,,
Fiji,,,,0.641,,,0.45,,,,,,Christian,Protestant,,0.975829798,"Micronesia, Federated States",,,,,,,,,,,,,,,,,,
Finland,,,,0.701,,,0.698,,,,,,Christian,Protestant,,0.948776747,Cuba,,,,,,,,,,,,,,,,,,
France,,,,0.645,0.545,,,,,,,,Christian,Catholic,,0.607046098,Modlova,,,,,,,,,,,,,,,,,,
French Polynesia,,,,0.84,,,0.54,,,,,,Christian,Protestant,,0.046471733,French Polynesia,,,,,,,,,,,,,,,,,,
Gabon,,,,0.82,0.423,,,,,,,,Christian,Catholic,,0.512147511,New Caledonia,,,,,,,,,,,,,,,,,,
"Gambia, The",0.957,,,,,,,,,,,,Muslim,N/A,,0.068273978,Anguilla,,,,,,,,,,,,,,,,,,
Gaza Strip,0.985,0.885,,,,,,,,,,,Muslim,Sunni,,0.92877154,Italy,,,,,,,,,,,,,,,,,,
Georgia,,,,0.863,,0.834,,,,,,,Christian,Orthodox,,0.140323699,Saint Martin,,,,,,,,,,,,,,,,,,
Germany,,,,0.562,,,,,,,,,Christian,N/A,,0.214429302,Barbados,,,,,,,,,,,,,,,,,,
Ghana,,,,0.712,,,,,,,,,Christian,N/A,,0.707832065,Switzerland,,,,,,,,,,,,,,,,,,
Gilbraltar,,,,0.836,0.721,,,,,,,,Christian,Catholic,,0.332363987,Trinidad and Tobago,,,,,,,,,,,,,,,,,,
Greece,,,,0.855,,0.855,,,,,,,Christian,Orthodox,,0.19964317,Ecuador,,,,,,,,,,,,,,,,,,
Greenland,,,,0.6,,,0.5,,,,,,Christian,Protestant,,0.114832633,Namibia,,,,,,,,,,,,,,,,,,
Grenada,,,,0.864,,,0.492,,,,,,Christian,Protestant,,0.126581536,Western Sahara,,,,,,,,,,,,,,,,,,
Guam,,,,0.85,0.85,,,,,,,,Christian,Catholic,,0.853949225,Virgin Islands,,,,,,,,,,,,,,,,,,
Guatemala,,,,0.6,0.5,,,,,,,,Christian,Catholic,,0.173167559,British Virgin Islands,,,,,,,,,,,,,,,,,,
Guernsey,,,,0.6,,,0.5,,,,,,Christian,Protestant,,0.423475708,Brunei,,,,,,,,,,,,,,,,,,
Guinea,0.891,,,,,,,,,,,,Muslim,N/A,,0.947947412,Cote d'Ivoire,,,,,,,,,,,,,,,,,,
Buinea-Bissau,0.451,,,,,,,,,,,,Muslim,N/A,,0.770509742,Japan,,,,,,,,,,,,,,,,,,
Guyana,,,,0.64,,,,,,,,,Christian,N/A,,0.92507466,Iran,,,,,,,,,,,,,,,,,,
Haiti,,,,0.832,0.547,,,,,,,,Christian,Catholic,,0.544238898,Chile,,,,,,,,,,,,,,,,,,
Honduras,,,,0.87,0.46,,0.41,,,,,,Christian,Catholic,,0.401680724,Bulgaria,,,,,,,,,,,,,,,,,,
Hong Kong,,,,,,,,,,0.543,,,None,N/A,,0.02828571,United Kingdom,,,,,,,,,,,,,,,,,,
Hungary,,,,0.528,,,,,,,,,Christian,N/A,,0.56803264,Greece,,,,,,,,,,,,,,,,,,
Iceland,,,,0.759,,,0.672,,,,,,Christian,Protestant,,0.202100074,Kuwait,,,,,,,,,,,,,,,,,,
India,,,,,,,,0.798,,,,,Hindu,N/A,,0.30518363,Brazil,,,,,,,,,,,,,,,,,,
Indonesia,0.872,,,,,,,,,,,,Muslim,N/A,,0.374898168,Guatemala,,,,,,,,,,,,,,,,,,
Iran,0.994,,0.925,,,,,,,,,,Muslim,Shia,,0.259227776,Botswana,,,,,,,,,,,,,,,,,,
Iraq,0.965,,0.665,,,,,,,,,,Muslim,Shia,,0.201079283,Mexico,,,,,,,,,,,,,,,,,,
Ireland,,,,0.839,0.783,,,,,,,,Christian,Catholic,,0.960473559,Algeria,,,,,,,,,,,,,,,,,,
Isle of Man,,,,0.6,,,0.5,,,,,,Christian,Protestant,,0.083226861,Taiwan,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,0.743,Jewish,N/A,,0.463093371,Malasia,,,,,,,,,,,,,,,,,,
Italy,,,,0.833,0.733,,,,,,,,Christian,Catholic,,0.82621839,Guinea,,,,,,,,,,,,,,,,,,
Jamaica,,,,0.679,,,0.638,,,,,,Christian,Protestant,,0.501121373,Sri Lanka,,,,,,,,,,,,,,,,,,
Japan,,,,,,,,,0.698,,,,Buddhist,N/A,,0.539207639,Rwanda,,,,,,,,,,,,,,,,,,
Jersey,,,,0.6,,,0.5,,,,,,Christian,Protestant,,0.421699992,Aruba,,,,,,,,,,,,,,,,,,
Jordan,0.972,0.872,,,,,,,,,,,Muslim,Sunni,,0.044875797,Timor-Leste,,,,,,,,,,,,,,,,,,
Kazakhstan,0.702,,,,,,,,,,,,Muslim,N/A,,0.639470647,Macau,,,,,,,,,,,,,,,,,,
Kenya,,,,0.83,,,0.477,,,,,,Christian,Protestant,,0.32864114,Spain,,,,,,,,,,,,,,,,,,
Kiribati,,,,0.958,0.573,,,,,,,,Christian,Catholic,,0.326561323,North Macedonia,,,,,,,,,,,,,,,,,,
"Korea, North",,,,,,,,,,1,,,None,N/A,,0.445547219,Saint Barthelemy,,,,,,,,,,,,,,,,,,
"Korea, South",,,,,,,,,,0.569,,,None,N/A,,0.037906143,"Korea, North",,,,,,,,,,,,,,,,,,
