,Muslim,Sunni,Shia,Christian,Catholic,Orthodox,Protestant,Hindu,Buddhist,None,Mixed,Jewish,Religion,Sect,,,,,,,,literacy,,,GINI,,,,,,,,,,
Kosovo,0.956,,,,,,,,,,,,Muslim,N/A,,0.961150965,Slovenia,,,,,,,,,,,,,,,,,,
Kuwait,0.746,,,,,,,,,,,,Muslim,N/A,,0.023167283,Guernsey,,,,,,,,,,,,,,,,,,
Kyrgyzstan,0.9,0.8,,,,,,,,,,,Muslim,Sunni,,0.853049802,Libya,,,,,,,,,,,,,,,,,,
Laos,,,,,,,,,0.647,,,,Buddhist,N/A,,0.731392469,Cambodia,,,,,,,,,,,,,,,,,,
Latvia,,,,0.761,,,,,,,,,Christian,N/A,,0.785597964,Hong Kong,,,,,,,,,,,,,,,,,,
Lebanon,0.611,,,,,,,,,,,,Muslim,N/A,,0.015647133,Seychelles,,,,,,,,,,,,,,,,,,
Lesotho,,,,0.962,,,0.478,,,,,,Christian,Protestant,,0.42125894,Mauritania,,,,,,,,,,,,,,,,,,
Liberia,,,,0.856,,,,,,,,,Christian,N/A,,0.320508458,Gabon,,,,,,,,,,,,,,,,,,
Libya,0.966,0.866,,,,,,,,,,,Muslim,Sunni,,0.205707987,China,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,0.832,0.734,,,,,,,,Christian,Catholic,,0.449032272,Malta,,,,,,,,,,,,,,,,,,
Lithuania,,,,0.829,0.772,,,,,,,,Christian,Catholic,,0.839513429,Montserrat,,,,,,,,,,,,,,,,,,
Luxembourg,,,,0.704,0.604,,,,,,,,Christian,Catholic,,0.489388832,Belgium,,,,,,,,,,,,,,,,,,
Macau,,,,,,,,,,,1,,Mixed,N/A,,0.03059631,Marshall Islands,,,,,,,,,,,,,,,,,,
Madagascar,,,,0.5,,,,,,,,,Christian,N/A,,0.152078634,Curacao,,,,,,,,,,,,,,,,,,
Malawi,,,,0.773,,,,,,,,,Christian,N/A,,0.256851197,Sint Maarten,,,,,,,,,,,,,,,,,,
Malasia,0.613,,,,,,,,,,,,Muslim,N/A,,0.153782808,Germany,,,,,,,,,,,,,,,,,,
Maldives,0.6,0.5,,,,,,,,,,,Muslim,Sunni,,0.508978854,Monaco,,,,,,,,,,,,,,,,,,
Mali,0.939,,,,,,,,,,,,Muslim,N/A,,0.56613731,Oman,,,,,,,,,,,,,,,,,,
Malta,,,,0.9,0.9,,,,,,,,Christian,Catholic,,0.752374295,Israel,,,,,,,,,,,,,,,,,,
Marshall Islands,,,,0.977,,,0.805,,,,,,Christian,Protestant,,0.273725304,Paraguary,,,,,,,,,,,,,,,,,,
Mauritania,1,,,,,,,,,,,,Muslim,N/A,,0.895144638,Liberia,,,,,,,,,,,,,,,,,,
Maruitius,,,,,,,,0.485,,,,,Hindu,N/A,,0.353669193,Turks and Caicos Islands,,,,,,,,,,,,,,,,,,
Mexico,,,,0.907,0.827,,,,,,,,Christian,Catholic,,0.981863079,Sierra Leone,,,,,,,,,,,,,,,,,,
"Micronesia, Federated States",,,,0.973,0.547,,0.411,,,,,,Christian,Catholic,,0.187064636,Uruguay,,,,,,,,,,,,,,,,,,
Modlova,,,,0.927,,0.901,,,,,,,Christian,Orthodox,,0.570250119,Afghanistan,,,,,,,,,,,,,,,,,,
Monaco,,,,1,0.9,,,,,,,,Christian,Catholic,,0.418950758,Sweden,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,0.53,,,,Buddhist,N/A,,0.208544993,Peru,,,,,,,,,,,,,,,,,,
Montenegro,,,,0.755,,0.721,,,,,,,Christian,Orthodox,,0.879255654,Greenland,,,,,,,,,,,,,,,,,,
Montserrat,,,,0.787,,,0.671,,,,,,Christian,Protestant,,0.432719554,Eritrea,,,,,,,,,,,,,,,,,,
Morocco,0.99,0.99,,,,,,,,,,,Muslim,Sunni,,0.827600024,Dominica,,,,,,,,,,,,,,,,,,
Mozambique,,,,0.598,,,,,,,,,Christian,N/A,,0.98933472,Tajikistan,,,,,,,,,,,,,,,,,,
Namibia,,,,0.85,,,0.55,,,,,,Christian,Protestant,,0.953148312,Thailand,,,,,,,,,,,,,,,,,,
Nauru,,,,0.934,,,0.604,,,,,,Christian,Protestant,,0.447551913,Slovakia,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,,0.813,,,,,Hindu,N/A,,0.802473202,Maruitius,,,,,,,,,,,,,,,,,,
Netherlands,,,,,,,,,,,1,,Mixed,N/A,,0.750750082,Gaza Strip,,,,,,,,,,,,,,,,,,
New Caledonia,,,,0.9,0.6,,,,,,,,Christian,Catholic,,0.095340428,Romania,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,0.468,,,None,N/A,,0.75163349,Australia,,,,,,,,,,,,,,,,,,
Nicaragua,,,,0.832,0.5,,,,,,,,Christian,Catholic,,0.512081479,Somalia,,,,,,,,,,,,,,,,,,
Niger,0.993,,,,,,,,,,,,Muslim,N/A,,0.190299843,Kenya,,,,,,,,,,,,,,,,,,
Nigeria,0.535,,,0.459,,,,,,,,,Muslim,N/A,,0.115690303,Zambia,,,,,,,,,,,,,,,,,,
Niue,,,,0.92,,,0.7,,,,,,Christian,Protestant,,0.005807115,Saudia Arabia,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,0.623,,,0.468,,,,,,Christian,Protestant,,0.76973563,Saint Pierre and Miguelon,,,,,,,,,,,,,,,,,,
North Macedonia,,,,0.648,,0.648,,,,,,,Christian,Orthodox,,0.851056904,Pakistan,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,0.6,0.5,,,,,,,,Christian,Catholic,,0.611829726,Samoa,,,,,,,,,,,,,,,,,,
Norway,,,,0.773,,,0.706,,,,,,Christian,Protestant,,0.92438485,Yemen,,,,,,,,,,,,,,,,,,
Oman,0.859,0.45,,,,,,,,,,,Muslim,Sunni,,0.091773258,Guyana,,,,,,,,,,,,,,,,,,
Pakistan,0.964,0.875,,,,,,,,,,,Muslim,Sunni,,0.919399845,South Sudan,,,,,,,,,,,,,,,,,,
Palau,,,,0.802,0.453,,,,,,,,Christian,Catholic,,0.508908858,Morocco,,,,,,,,,,,,,,,,,,
Panama,,,,1,0.85,,,,,,,,Christian,Catholic,,0.987441221,Mozambique,,,,,,,,,,,,,,,,,,
Papua New Guinea,,,,0.956,,,0.643,,,,,,Christian,Protestant,,0.27327211,"Korea, South",,,,,,,,,,,,,,,,,,
Paraguary,,,,0.969,0.896,,,,,,,,Christian,Catholic,,0.889499877,"Saint Helena, Ascension, and Tristan do Cunha",,,,,,,,,,,,,,,,,,
Peru,,,,0.746,0.6,,,,,,,,Christian,Catholic,,0.327166398,Netherlands,,,,,,,,,,,,,,,,,,
Philippines,,,,0.922,0.806,,,,,,,,Christian,Catholic,,0.183508871,Vanuatu,,,,,,,,,,,,,,,,,,
Pitcairn Islands,,,,1,,,1,,,,,,Christian,Protestant,,0.487633555,Singapore,,,,,,,,,,,,,,,,,,
Poland,,,,0.876,0.859,,,,,,,,Christian,Catholic,,0.401335156,Nicaragua,,,,,,,,,,,,,,,,,,
Portugal,,,,0.843,0.81,,,,,,,,Christian,Catholic,,0.28878615,Turkey,,,,,,,,,,,,,,,,,,
Puerto Rico,,,,1,0.85,,,,,,,,Christian,Catholic,,0.625214912,Uzbekistan,,,,,,,,,,,,,,,,,,
Qatar,0.677,,,,,,,,,,,,Muslim,N/A,,0.305418265,Cyprus,,,,,,,,,,,,,,,,,,
Romania,,,,0.926,,0.819,,,,,,,Christian,Orthodox,,0.364599466,Canada,,,,,,,,,,,,,,,,,,
Russia,,,,,,,,,,0.65,,,None,N/A,,0.483558107,Philippines,,,,,,,,,,,,,,,,,,
Rwanda,,,,0.932,0.437,,0.495,,,,,,Christian,Protestant,,0.046091919,Senegal,,,,,,,,,,,,,,,,,,
Saint Barthelemy,,,,0.6,0.5,,,,,,,,Christian,Catholic,,0.441995149,Armenia,,,,,,,,,,,,,,,,,,
"Saint Helena, Ascension, and Tristan do Cunha",,,,0.812,,,0.759,,,,,,Christian,Protestant,,0.224190428,Zimbabwe,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,,,,0.824,,,0.744,,,,,,Christian,Protestant,,0.314857311,Bahrain,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,0.904,0.615,,,,,,,,Christian,Catholic,,0.43231811,Portugal,,,,,,,,,,,,,,,,,,
Saint Martin,,,,0.6,0.5,,,,,,,,Christian,Catholic,,0.308812189,Vietnam,,,,,,,,,,,,,,,,,,
Saint Pierre and Miguelon,,,,0.99,0.99,,,,,,,,Christian,Catholic,,0.834771662,Kiribati,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,0.821,,,0.75,,,,,,Christian,Protestant,,0.090360166,Northern Mariana Islands,,,,,,,,,,,,,,,,,,
Samoa,,,,0.97,,,0.549,,,,,,Christian,Protestant,,0.404639484,Bermuda,,,,,,,,,,,,,,,,,,
San Marino,,,,0.9,0.9,,,,,,,,Christian,Catholic,,0.579736191,Ghana,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,0.716,0.557,,,,,,,,Christian,Catholic,,0.305783646,Togo,,,,,,,,,,,,,,,,,,
Saudia Arabia,1,0.875,,,,,,,,,,,Muslim,Sunni,,0.11006251,Iraq,,,,,,,,,,,,,,,,,,
Senegal,0.959,,,,,,,,,,,,Muslim,N/A,,0.758269245,Turkmenistand,,,,,,,,,,,,,,,,,,
Serbia,,,,0.906,,0.846,,,,,,,Christian,Orthodox,,0.814531573,Antiqua and Barbuda,,,,,,,,,,,,,,,,,,
Seychelles,,,,0.891,0.762,,,,,,,,Christian,Catholic,,0.097541643,Austria,,,,,,,,,,,,,,,,,,
Sierra Leone,0.786,,,,,,,,,,,,Muslim,N/A,,0.760594927,India,,,,,,,,,,,,,,,,,,
Singapore,,,,,,,,,,,1,,Mixed,N/A,,0.220348037,Tonga,,,,,,,,,,,,,,,,,,
Sint Maarten,,,,0.822,,,0.419,,,,,,Christian,Protestant,,0.486785173,Kosovo,,,,,,,,,,,,,,,,,,
Slovakia,,,,0.74,0.62,,,,,,,,Christian,Catholic,,0.274634141,Sudan,,,,,,,,,,,,,,,,,,
Slovenia,,,,0.61,0.578,,,,,,,,Christian,Catholic,,0.372924401,Niger,,,,,,,,,,,,,,,,,,
Solomon Islands,,,,0.959,,,0.734,,,,,,Christian,Protestant,,0.781750869,American Samoa,,,,,,,,,,,,,,,,,,
Somalia,0.6,0.5,,,,,,,,,,,Muslim,Sunni,,0.848088609,Montenegro,,,,,,,,,,,,,,,,,,
South Africa,,,,0.86,,,,,,,,,Christian,N/A,,0.981685807,Honduras,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,1,,Mixed,N/A,,0.649011835,Panama,,,,,,,,,,,,,,,,,,
Spain,,,,0.689,0.689,,,,,,,,Christian,Catholic,,0.971753488,Dominican Republic,,,,,,,,,,,,,,,,,,
Sri Lanka,,,,,,,,,0.702,,,,Buddhist,N/A,,0.719261991,Denmark,,,,,,,,,,,,,,,,,,
Sudan,0.6,0.5,,,,,,,,,,,Muslim,Sunni,,0.957447577,Isle of Man,,,,,,,,,,,,,,,,,,
Suriname,,,,0.496,,,,,,,,,Christian,N/A,,0.64992537,Argentina,,,,,,,,,,,,,,,,,,
Sweden,,,,0.642,,,0.602,,,,,,Christian,Protestant,,0.171592761,Madagascar,,,,,,,,,,,,,,,,,,
Switzerland,,,,0.656,,,,,,,,,Christian,N/A,,0.337260585,Comoros,,,,,,,,,,,,,,,,,,
Syria,0.87,0.74,,,,,,,,,,,Muslim,Sunni,,0.003696644,Ethiopia,,,,,,,,,,,,,,,,,,
Taiwan,,,,,,,,,,,1,,Mixed,N/A,,0.819070408,Eswatini,,,,,,,,,,,,,,,,,,
Tajikistan,0.98,0.95,,,,,,,,,,,Muslim,Sunni,,0.615023686,Poland,,,,,,,,,,,,,,,,,,
Tanzania,,,,0.614,,,,,,,,,Christian,N/A,,0.366256046,Kazakhstan,,,,,,,,,,,,,,,,,,
Thailand,,,,,,,,,0.946,,,,Buddhist,N/A,,0.720249197,Tokelau,,,,,,,,,,,,,,,,,,
Timor-Leste,,,,0.996,0.976,,,,,,,,Christian,Catholic,,0.84499358,Chad,,,,,,,,,,,,,,,,,,
Togo,,,,0.437,,,,,,,,,Christian,N/A,,0.70996733,Guam,,,,,,,,,,,,,,,,,,
Tokelau,,,,0.992,,,0.504,,,,,,Christian,Protestant,,0.199180697,Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,
Tonga,,,,0.969,,,0.641,,,,,,Christian,Protestant,,0.178553439,San Marino,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,0.552,,,,,,,,,Christian,N/A,,0.148834863,Bhutan,,,,,,,,,,,,,,,,,,
Tunisia,0.991,0.891,,,,,,,,,,,Muslim,Sunni,,0.468385342,Cocos (Keeling) Islands,,,,,,,,,,,,,,,,,,
Turkey,0.998,0.898,,,,,,,,,,,Muslim,Sunni,,0.734914548,Uganda,,,,,,,,,,,,,,,,,,
Turkmenistand,0.89,,,,,,,,,,,,Muslim,N/A,,0.634431048,Liechtenstein,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,,,,0.86,,,0.728,,,,,,Christian,Protestant,,0.595407801,Syria,,,,,,,,,,,,,,,,,,
Tuvalu,,,,0.947,,,0.924,,,,,,Christian,Protestant,,0.170983181,Suriname,,,,,,,,,,,,,,,,,,
Uganda,,,,0.844,,,0.451,,,,,,Christian,Protestant,,0.832795321,Haiti,,,,,,,,,,,,,,,,,,
Ukraine,,,,0.6,,0.5,,,,,,,Christian,Orthodox,,0.96328891,Finland,,,,,,,,,,,,,,,,,,
United Arab Emirates,0.76,,,,,,,,,,,,Muslim,N/A,,0.957022913,Burkina Faso,,,,,,,,,,,,,,,,,,
United Kingdom,,,,0.595,,,,,,,,,Christian,N/A,,0.055434212,Tuvalu,,,,,,,,,,,,,,,,,,
United States,,,,0.706,,,0.465,,,,,,Christian,Protestant,,0.985532665,Tunisia,,,,,,,,,,,,,,,,,,
Uruguay,,,,0.814,0.471,,,,,,,,Christian,Catholic,,0.900421911,Sao Tome and Principe,,,,,,,,,,,,,,,,,,
Uzbekistan,0.88,0.78,,,,,,,,,,,Muslim,Sunni,,0.955685992,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,
Vanuatu,,,,0.824,,,0.7,,,,,,Christian,Protestant,,0.613693435,"Gambia, The",,,,,,,,,,,,,,,,,,
Venezuela,,,,0.98,0.96,,,,,,,,Christian,Catholic,,0.045261346,Serbia,,,,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,0.818,,,None,N/A,,0.231954319,Czechia,,,,,,,,,,,,,,,,,,
Virgin Islands,,,,0.93,,,0.59,,,,,,Christian,Protestant,,0.788135083,Nauru,,,,,,,,,,,,,,,,,,
Wallis and Futuna,,,,0.99,0.99,,,,,,,,Christian,Catholic,,0.613280095,South Africa,,,,,,,,,,,,,,,,,,
West Bank,0.825,0.725,,,,,,,,,,,Muslim,Sunni,,0.481371243,Cameroon,,,,,,,,,,,,,,,,,,
Western Sahara,0.6,,,,,,,,,,,,Muslim,N/A,,0.264499769,Norway,,,,,,,,,,,,,,,,,,
Yemen,0.991,0.65,,,,,,,,,,,Muslim,Sunni,,0.872281119,Lebanon,,,,,,,,,,,,,,,,,,
Zambia,,,,0.937,,,0.735,,,,,,Christian,Protestant,,0.463868539,Saint Lucia,,,,,,,,,,,,,,,,,,
Zimbabwe,,,,0.874,,,0.748,,,,,,Christian,Protestant,,0.701776115,Burma,,,,,,,,,,,,,,,,,,
